Country,birthRate,deathRate,lifeExpectancy,GDP,infantMortalityRate,unempRate,medianAge,GDP_Cap,Gini,ISO3
China,12.4,7.7,75.5,2.13E+13,12.2,4.2,37.1,15400,46.9,CHN
Colombia,16.3,5.4,75.7,6.90E+11,14.1,9.5,29.6,14200,53.5,COL
Costa Rica,15.7,4.6,78.6,79260000000,8.3,9.3,30.9,16100,50.3,CRI
Croatia,9,12.1,75.9,94240000000,9.5,15.8,42.7,22400,32,HRV
Cyprus,11.4,6.7,78.7,29260000000,8.1,11.8,36.4,34400,34.8,CYP
Czechia,9.5,10.4,78.6,3.51E+11,2.6,5.6,41.7,33200,24.9,CZE
Denmark,10.4,10.3,79.4,2.65E+11,4,4.2,42,46600,24.8,DNK
Djibouti,23.6,7.6,63.2,3345000000,47.2,60,23.5,3400,40.9,DJI
Dominican Republic,18.6,4.6,78.1,1.61E+11,18.1,13.8,27.8,15900,47.1,DOM
Ecuador,18.2,5.1,76.8,1.82E+11,16.9,5.5,27.4,11000,48.5,ECU
Egypt,30.3,4.7,72.7,1.11E+12,19.7,13.1,23.8,12100,30.8,EGY
El Salvador,16.3,5.7,74.7,54790000000,17.3,5.5,26.6,8900,46.9,SLV
Estonia,10.3,12.5,76.7,38700000000,3.8,6.5,42.4,29500,35.6,EST
Ethiopia,36.9,7.9,62.2,1.75E+11,51.1,17.5,17.8,1900,33,ETH
Finland,10.7,9.9,80.9,2.30E+11,2.5,9.1,42.4,41800,26.8,FIN
France,12.3,9.3,81.8,2.74E+12,3.3,9.7,41.2,42400,30.1,FRA
Georgia,12.5,10.9,76.2,37380000000,15.6,12.1,38,10100,46,GEO
Germany,8.5,11.6,80.7,3.98E+12,3.4,4.3,46.8,48200,27,DEU
Ghana,30.8,7.1,66.6,1.21E+11,36.3,5.2,21,4400,42.3,GHA
Greece,8.5,11.2,80.5,2.91E+11,4.6,24.6,44.2,26800,36.7,GRC
Guatemala,24.5,4.7,72.3,1.32E+11,22,2.9,21.7,7900,53,GTM
Guyana,15.5,7.4,68.4,6093000000,31.5,11.1,25.8,7900,44.6,GUY
Haiti,23.3,7.7,63.8,19360000000,48.2,40.6,22.6,1800,60.8,HTI
Honduras,22.8,5.2,71.1,43190000000,17.7,3.9,22.6,5300,57.7,HND
Hong Kong,9.1,7.2,82.9,4.27E+11,2.7,3.6,44,58100,53.7,HKG
Hungary,9.1,12.8,75.9,2.68E+11,5,6.6,41.8,27200,30.6,HUN
Iceland,13.8,6.3,83,16150000000,2.1,2.7,36.3,48100,28,ISL
India,19.3,7.3,68.5,8.72E+12,40.5,8.4,27.6,6700,33.6,IND
